"approach","dataset","nrow","depth","lambda","time_limit","status","obj_value","train_acc","gap","node_count","solving_time","cb_time_int","cb_time_int_suc","cb_counter_int","cb_counter_int_suc","test_acc","eval_acc","sample","regularization"
"BinOCT","hayes-roth",66,"3",0,3600,107,13.999999994,0.787878787878788,0.890397697487223,11682727,3600,0,0,0,0,0.636363636363636,0.696969696969697,"1",FALSE
"BinOCT","hayes-roth",66,"3",0,3600,107,14.999999992,0.772727272727273,0.958666666638232,12921430,3600,0,0,0,0,0.757575757575758,0.636363636363636,"2",FALSE
"BinOCT","hayes-roth",66,"3",0,3600,107,13.999999997,0.787878787878788,0.963308028510677,12834972,3600,0,0,0,0,0.575757575757576,0.757575757575758,"3",FALSE
"BinOCT","hayes-roth",66,"3",0,3600,102,9,0.863636363636364,9.72611266720324e-05,10755902,3078.58531308174,0,0,0,0,0.636363636363636,0.575757575757576,"4",FALSE
"BinOCT","hayes-roth",66,"3",0,3600,107,11.999999994,0.818181818181818,0.915253209384243,13928505,3600,0,0,0,0,0.636363636363636,0.696969696969697,"5",FALSE
"BinOCT","hayes-roth",66,"4",0,3600,107,10.999999994,0.833333333333333,0.999999999990909,8329620,3600,0,0,0,0,0.666666666666667,0.727272727272727,"1",FALSE
"BinOCT","hayes-roth",66,"4",0,3600,107,10.999999998,0.833333333333333,0.999999999990909,7893658,3600,0,0,0,0,0.727272727272727,0.757575757575758,"2",FALSE
"BinOCT","hayes-roth",66,"4",0,3600,107,10.999999995,0.833333333333333,0.999999999990909,9541358,3600,0,0,0,0,0.696969696969697,0.848484848484849,"3",FALSE
"BinOCT","hayes-roth",66,"4",0,3600,107,6.999999997,0.893939393939394,0.999999999985714,5372929,3600,0,0,0,0,0.818181818181818,0.666666666666667,"4",FALSE
"BinOCT","hayes-roth",66,"4",0,3600,107,9.999999995,0.848484848484849,0.99999999999,9025122,3600,0,0,0,0,0.696969696969697,0.848484848484849,"5",FALSE
"BinOCT","hayes-roth",66,"5",0,3600,107,7.999999997,0.878787878787879,0.9999999999875,4960739,3600,0,0,0,0,0.757575757575758,0.787878787878788,"1",FALSE
"BinOCT","hayes-roth",66,"5",0,3600,107,4.999999997,0.924242424242424,0.99999999998,6158192,3600,0,0,0,0,0.909090909090909,0.727272727272727,"2",FALSE
"BinOCT","hayes-roth",66,"5",0,3600,107,5.999999998,0.909090909090909,0.999999999983333,5976762,3600,0,0,0,0,0.696969696969697,0.848484848484849,"3",FALSE
"BinOCT","hayes-roth",66,"5",0,3600,107,4.999999997,0.924242424242424,0.99999999998,6163120,3600,0,0,0,0,0.818181818181818,0.666666666666667,"4",FALSE
"BinOCT","hayes-roth",66,"5",0,3600,107,9.999999998,0.848484848484849,0.99999999999,6642533,3600,0,0,0,0,0.848484848484849,0.878787878787879,"5",FALSE
"BinOCT","monk2",84,"2",0,3600,101,25,0.702380952380952,0,13770,6.0868091583252,0,0,0,0,0.511627906976744,0.571428571428571,"1",FALSE
"BinOCT","monk2",84,"2",0,3600,101,25,0.702380952380952,0,13489,6.03132724761963,0,0,0,0,0.627906976744186,0.428571428571429,"2",FALSE
"BinOCT","monk2",84,"2",0,3600,101,20.999999996,0.75,0,7932,5.07585954666138,0,0,0,0,0.581395348837209,0.571428571428571,"3",FALSE
"BinOCT","monk2",84,"2",0,3600,101,25,0.702380952380952,0,13307,5.64377546310425,0,0,0,0,0.604651162790698,0.547619047619048,"4",FALSE
"BinOCT","monk2",84,"2",0,3600,101,24,0.714285714285714,0,11805,5.53108620643616,0,0,0,0,0.558139534883721,0.666666666666667,"5",FALSE
"BinOCT","monk2",84,"3",0,3600,107,19.999999997,0.761904761904762,0.999999999995,8986953,3600,0,0,0,0,0.627906976744186,0.738095238095238,"1",FALSE
"BinOCT","monk2",84,"3",0,3600,107,13.999999995,0.833333333333333,0.988721804500188,10802998,3600,0,0,0,0,0.767441860465116,0.523809523809524,"2",FALSE
